step,t,a_base_lin,a_base_ang,a_ee_dx,a_ee_dy,a_ee_dz,a_grip,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,base_roll_deg,base_pitch_deg,base_yaw_deg,ee_x,ee_y,ee_z,ee_qw,ee_qx,ee_qy,ee_qz,ee_base_x,ee_base_y,ee_base_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,gripper,holding,grasp_event,drop_event,goal_x,goal_y,goal_z,reward,slope_reward,terminated,truncated,contact_force_n,q_dummy_base_prismatic_x_joint,q_dummy_base_prismatic_y_joint,q_dummy_base_revolute_z_joint,q_panda_joint1,q_panda_joint2,q_panda_joint3,q_panda_joint4,q_panda_joint5,q_panda_joint6,q_panda_joint7,q_panda_finger_joint1,q_panda_finger_joint2,qd_dummy_base_prismatic_x_joint,qd_dummy_base_prismatic_y_joint,qd_dummy_base_revolute_z_joint,qd_panda_joint1,qd_panda_joint2,qd_panda_joint3,qd_panda_joint4,qd_panda_joint5,qd_panda_joint6,qd_panda_joint7,qd_panda_finger_joint1,qd_panda_finger_joint2
0,0.7434,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82931,1.0,0.0,0.0,0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.00362,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,-0.0,-0.0,-0.0,-3.8e-05,-0.0,2.9e-05,0.0,1.5e-05,0.0,-2e-06,2e-06
1,1.1194,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,-0.0,-0.0,-0.0,-1.7e-05,-0.0,9e-06,0.0,2e-06,0.0,-2e-06,2e-06
2,1.4759,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,-0.0,0.0,-0.0,-7e-06,0.0,4e-06,0.0,1e-06,0.0,-2e-06,2e-06
3,1.8688,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-3e-06,0.0,2e-06,0.0,0.0,0.0,-2e-06,2e-06
4,2.2473,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-1e-06,0.0,1e-06,0.0,0.0,0.0,-2e-06,2e-06
5,2.593,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
6,2.958,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
7,3.2984,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
8,3.671,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
9,4.029,0.0,0.0,0.0,0.0,0.0,1.0,0.88638,11.79049,0.0,0.977813,0.0,-0.0,-0.209479,0.0,-0.0,-24.184,1.79103,11.38424,0.94396,0.027351,0.969443,-0.207686,0.127669,0.90465,-0.40626,0.94396,0.61777,1.12891,0.82862,1.0,0.0,-1e-06,-0.0,1.0,0,0,0,-6.0,-12.0,0.01,-0.02115,,0,0,0.0,-1e-06,-0.0,0.0,-0.0,0.523547,-0.0,-0.785372,-0.0,1.570795,0.785398,0.035,0.035,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2e-06,2e-06
