step,ee_x_b,ee_y_b,ee_z_b,radius_m,min_joint_margin,pose_err_m,manipulability,gripper
0,0.3998,-0.0,1.2103,0.9357,0.0644,0.0,0.012439,0.0047
1,0.407,-0.0,1.2082,0.9343,0.0672,0.0075,0.012809,0.0093
2,0.4136,-0.0,1.2074,0.9343,0.0684,0.0142,0.013061,0.0138
3,0.4179,-0.0,1.2068,0.9343,0.0686,0.0185,0.013188,0.0182
4,0.42,-0.0,1.2065,0.9342,0.0679,0.0206,0.013208,0.0225
5,0.4202,-0.0,1.2065,0.9343,0.0667,0.0208,0.013147,0.0267
6,0.4189,-0.0,1.2068,0.9344,0.0653,0.0194,0.013029,0.0308
7,0.4164,-0.0,1.2072,0.9345,0.0637,0.0169,0.012877,0.0342
8,0.4132,-0.0,1.2078,0.9347,0.0622,0.0136,0.012712,0.0349
9,0.4096,-0.0,1.2085,0.9349,0.0608,0.01,0.012548,0.035
10,0.406,-0.0,1.2091,0.9351,0.0597,0.0063,0.012397,0.035
11,0.4026,-0.0,1.2097,0.9353,0.0587,0.0029,0.012268,0.035
12,0.3996,-0.0,1.2102,0.9355,0.058,0.0002,0.012164,0.035
13,0.3971,-0.0,1.2106,0.9357,0.0575,0.0026,0.012088,0.035
14,0.3953,-0.0,1.2109,0.9358,0.0571,0.0045,0.01204,0.035
15,0.3942,-0.0,1.2111,0.9358,0.057,0.0057,0.012017,0.035
16,0.3936,-0.0,1.2112,0.9359,0.057,0.0062,0.012017,0.035
17,0.3936,-0.0,1.2112,0.9359,0.0572,0.0062,0.012037,0.035
18,0.394,-0.0,1.2111,0.9359,0.0576,0.0058,0.012071,0.035
19,0.3948,-0.0,1.211,0.9358,0.058,0.005,0.012115,0.035
20,0.3958,-0.0,1.2109,0.9358,0.0585,0.004,0.012165,0.035
21,0.3968,-0.0,1.2107,0.9358,0.059,0.0029,0.012215,0.035
22,0.3979,-0.0,1.2106,0.9357,0.0595,0.0018,0.012262,0.035
23,0.399,-0.0,1.2104,0.9357,0.0599,0.0008,0.012303,0.035
24,0.3998,-0.0,1.2103,0.9356,0.0602,0.0001,0.012337,0.035
25,0.4006,-0.0,1.2102,0.9356,0.0605,0.0008,0.012362,0.035
26,0.4011,-0.0,1.2101,0.9356,0.0606,0.0014,0.012378,0.035
27,0.4014,-0.0,1.2101,0.9356,0.0607,0.0017,0.012385,0.035
28,0.4016,-0.0,1.21,0.9356,0.0607,0.0019,0.012385,0.035
29,0.4016,-0.0,1.21,0.9356,0.0606,0.0018,0.012379,0.035
30,0.4015,-0.0,1.2101,0.9356,0.0605,0.0017,0.012368,0.035
31,0.4012,-0.0,1.2101,0.9356,0.0604,0.0015,0.012355,0.035
32,0.4009,-0.0,1.2101,0.9356,0.0603,0.0012,0.01234,0.035
33,0.4006,-0.0,1.2102,0.9356,0.0601,0.0009,0.012325,0.035
34,0.4003,-0.0,1.2102,0.9356,0.06,0.0005,0.012311,0.035
35,0.4,-0.0,1.2103,0.9356,0.0599,0.0002,0.0123,0.035
36,0.3997,-0.0,1.2103,0.9357,0.0598,0.0,0.01229,0.035
37,0.3995,-0.0,1.2104,0.9357,0.0598,0.0003,0.012283,0.035
38,0.3994,-0.0,1.2104,0.9357,0.0597,0.0004,0.012279,0.035
39,0.3993,-0.0,1.2104,0.9357,0.0597,0.0005,0.012277,0.035
40,0.3992,-0.0,1.2104,0.9357,0.0597,0.0006,0.012277,0.035
41,0.3992,-0.0,1.2104,0.9357,0.0597,0.0005,0.012279,0.035
42,0.3993,-0.0,1.2104,0.9357,0.0598,0.0005,0.012282,0.035
43,0.3993,-0.0,1.2104,0.9357,0.0598,0.0004,0.012286,0.035
44,0.3994,-0.0,1.2104,0.9357,0.0598,0.0003,0.01229,0.035
45,0.3995,-0.0,1.2104,0.9357,0.0599,0.0002,0.012295,0.035
46,0.3996,-0.0,1.2103,0.9357,0.0599,0.0002,0.012299,0.035
47,0.3997,-0.0,1.2103,0.9357,0.0599,0.0001,0.012302,0.035
48,0.3998,-0.0,1.2103,0.9357,0.06,0.0,0.012305,0.035
49,0.3998,-0.0,1.2103,0.9357,0.06,0.0001,0.012307,0.035
50,0.3999,-0.0,1.2103,0.9357,0.06,0.0001,0.012309,0.035
51,0.3999,-0.0,1.2103,0.9357,0.06,0.0002,0.012309,0.035
52,0.3999,-0.0,1.2103,0.9357,0.06,0.0002,0.012309,0.035
53,0.3999,-0.0,1.2103,0.9357,0.06,0.0002,0.012308,0.035
54,0.3999,-0.0,1.2103,0.9357,0.06,0.0001,0.012307,0.035
55,0.3999,-0.0,1.2103,0.9357,0.06,0.0001,0.012306,0.035
56,0.3999,-0.0,1.2103,0.9357,0.06,0.0001,0.012305,0.035
57,0.3998,-0.0,1.2103,0.9357,0.06,0.0001,0.012304,0.035
58,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
59,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
60,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
61,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.0123,0.035
62,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.0123,0.035
63,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012299,0.035
64,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012299,0.035
65,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.0123,0.035
66,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.0123,0.035
67,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.0123,0.035
68,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
69,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
70,0.3997,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
71,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
72,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
73,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
74,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
75,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
76,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
77,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
78,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
79,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
80,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
81,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
82,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
83,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
84,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
85,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
86,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
87,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012301,0.035
88,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
89,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
90,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
91,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
92,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
93,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
94,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
95,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
96,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
97,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
98,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
99,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
100,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
101,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
102,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
103,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
104,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
105,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
106,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
107,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
108,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
109,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
110,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
111,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
112,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
113,0.3998,-0.0,1.2103,0.9357,0.0599,0.0,0.012302,0.035
