radius_m,manipulability,ee_x,ee_y,ee_z
1.1821,0.004004,0.2675,-0.029,1.4613
0.4187,0.097623,0.0573,0.3382,0.325
1.0184,0.066078,0.0186,-0.3591,1.1905
1.0011,0.043141,0.621,-0.7344,0.8799
0.777,0.054011,0.3947,0.1944,1.0263
0.733,0.078028,0.3689,0.4236,0.8742
0.8124,0.086563,0.0956,0.0416,1.0652
0.41,0.016532,0.4664,-0.0436,0.6522
0.9268,0.091684,0.8645,-0.3453,0.9289
0.7761,0.079462,0.2186,0.4673,0.8942
0.9072,0.076439,0.1073,-0.3679,1.0866
0.7604,0.098443,-0.1669,0.1773,0.8533
1.0509,0.056254,-0.0476,-0.2482,1.2402
0.4426,0.073005,0.5497,-0.2922,0.4996
0.7493,0.063968,-0.0239,-0.499,0.7356
1.0686,0.043547,0.4577,0.336,1.2821
1.1434,0.040297,0.1833,0.1148,1.4116
0.7612,0.108764,-0.1493,0.2659,0.834
0.3239,0.037857,0.3539,-0.2945,0.4036
0.9589,0.085561,-0.4408,0.0504,0.8868
0.8461,0.067352,0.5454,-0.777,0.5077
0.8076,0.059918,0.7689,0.4078,0.7959
0.9163,0.056547,-0.4844,0.2815,0.661
1.1104,0.048838,0.0341,0.0936,1.3541
0.8804,0.065497,-0.081,0.1588,1.0577
0.9751,0.085465,-0.3388,-0.0508,1.015
1.0819,0.042845,0.4023,-0.1988,1.3386
1.0314,0.078214,-0.2423,-0.2351,1.1253
0.5347,0.098691,0.3235,-0.4755,0.5235
0.9002,0.085755,1.057,-0.2013,0.7237
0.5532,0.044975,0.3704,0.423,0.6295
1.1623,0.012248,0.3471,-0.3498,1.3874
0.9542,0.055381,0.7849,0.6746,0.7495
0.8078,0.061108,0.5912,-0.5159,0.8292
1.0151,0.11105,0.8915,-0.2352,1.0707
0.8588,0.058452,0.3113,-0.1077,1.1319
1.0948,0.069504,0.1841,-0.4018,1.2918
0.8253,0.063744,0.9362,0.0229,0.8052
0.8678,0.048896,0.26,-0.5179,0.9752
0.9788,0.056442,-0.3975,0.4181,0.8247
0.9835,0.074119,0.602,-0.5179,1.0597
0.614,0.105152,-0.1019,-0.4279,0.46
1.0815,0.079351,0.4827,-0.3797,1.2761
0.8256,0.099688,0.2529,-0.6584,0.7758
0.6762,0.138713,0.4708,-0.6369,0.43
0.5423,0.104333,0.2861,0.4925,0.0572
0.922,0.087744,0.9293,0.344,0.8582
0.7458,0.04901,0.3417,0.4329,0.8845
0.965,0.061491,0.5544,0.4151,1.1123
0.884,0.103074,0.2074,0.622,0.8994
0.9282,0.054808,-0.1463,-0.172,1.0759
0.3298,0.029502,0.5567,-0.1338,0.4393
0.2977,0.031927,0.166,0.1993,0.4538
0.9187,0.047435,0.4374,-0.4019,1.0955
1.0407,0.057723,0.7814,0.0807,1.1989
0.57,0.056396,0.7422,0.0202,0.6388
0.9445,0.090257,-0.3386,-0.1721,0.9549
1.0264,0.02295,0.1969,-0.784,0.9367
0.6804,0.049228,0.1354,0.1947,0.9102
0.8665,0.055859,-0.0746,0.7416,0.5202
0.5985,0.062716,0.1332,0.3311,0.7486
0.8508,0.037794,0.7403,-0.0715,1.0046
0.3894,0.023295,0.0505,-0.0486,0.5754
0.4801,0.024411,0.4289,-0.3013,0.6325
0.7654,0.069842,0.0101,-0.6004,0.6591
0.6988,0.089544,0.2747,-0.532,0.7347
0.3419,0.071168,0.4601,-0.292,0.3639
1.089,0.049616,0.7237,0.401,1.1987
