ep,step,t_ms,x,y,yaw_deg,holding,tgt_x,tgt_y,dist,lin,ang,move
0,0,0.0,-6.7357,8.8282,-90.0,0,-6.7357,7.8282,1.0,1.0,-0.0,0.0
0,1,100.0,-6.7357,8.7729,-90.0,0,-6.7357,7.8282,0.9447,0.945,-0.0,0.0553
0,2,200.0,-6.7357,8.6385,-90.0,0,-6.7357,7.8282,0.8103,0.81,-0.0,0.1344
0,3,300.0,-6.7357,8.5129,-90.0,1,-6.0,-12.0,20.5261,-0.9,0.0,0.1256
0,4,400.0,-6.7357,8.4459,-90.0,1,-6.0,-12.0,20.4591,-0.9,0.0,0.0671
0,5,500.0,-6.7357,8.4856,-90.0,1,-6.0,-12.0,20.4988,-0.9,0.0,0.0398
0,6,600.0,-6.7357,8.6114,-90.0,1,-6.0,-12.0,20.6245,-0.9,0.0,0.1257
0,7,700.0,-6.7356,8.747,-90.0,1,-6.0,-12.0,20.76,-0.9,0.0,0.1356
0,8,800.0,-6.7356,8.8827,-90.0,1,-6.0,-12.0,20.8956,-0.9,0.0,0.1357
0,9,900.0,-6.7356,9.0183,-90.0,1,-6.0,-12.0,21.0312,-0.9,0.0,0.1357
0,10,1000.0,-6.7356,9.154,-90.0,1,-6.0,-12.0,21.1668,-0.9,0.0,0.1357
0,11,1100.0,-6.7356,9.2897,-90.0,1,-6.0,-12.0,21.3024,-0.9,0.0,0.1357
0,12,1200.0,-6.7356,9.4253,-90.0,1,-6.0,-12.0,21.438,-0.9,0.0,0.1357
0,13,1300.0,-6.7356,9.561,-90.0,1,-6.0,-12.0,21.5736,-0.9,0.0,0.1357
0,14,1400.0,-6.7356,9.6967,-90.0,1,-6.0,-12.0,21.7091,-0.9,0.0,0.1357
0,15,1500.0,-6.7356,9.8324,-90.0,1,-6.0,-12.0,21.8447,-0.9,0.0,0.1357
0,16,1600.0,-6.7356,9.968,-90.0,1,-6.0,-12.0,21.9803,-0.9,0.0,0.1357
0,17,1700.0,-6.7356,10.1037,-90.0,1,-6.0,-12.0,22.1159,-0.9,0.0,0.1357
0,18,1800.0,-6.7355,10.2394,-90.0,1,-6.0,-12.0,22.2515,-0.9,0.0,0.1357
0,19,1900.0,-6.7355,10.375,-90.0,1,-6.0,-12.0,22.3871,-0.9,0.0,0.1357
0,20,2000.0,-6.7355,10.5107,-90.0,1,-6.0,-12.0,22.5227,-0.9,0.0,0.1357
0,21,2100.0,-6.7355,10.6464,-90.0,1,-6.0,-12.0,22.6583,0.999,0.065,0.1357
0,22,2200.0,-6.7356,10.7271,-89.4,1,-6.0,-12.0,22.739,1.0,0.045,0.0807
0,23,2300.0,-6.7344,10.7013,-89.1,1,-6.0,-12.0,22.7132,1.0,0.032,0.0258
0,24,2400.0,-6.732,10.5753,-88.8,1,-6.0,-12.0,22.5872,1.0,0.022,0.1261
0,25,2500.0,-6.7289,10.4249,-88.6,1,-6.0,-12.0,22.4368,1.0,0.016,0.1504
0,26,2600.0,-6.7253,10.2744,-88.4,1,-6.0,-12.0,22.2862,1.0,0.011,0.1506
0,27,2700.0,-6.7213,10.1238,-88.4,1,-6.0,-12.0,22.1356,1.0,0.008,0.1506
0,28,2800.0,-6.717,9.9732,-88.3,1,-6.0,-12.0,21.9849,1.0,0.005,0.1506
0,29,2900.0,-6.7125,9.8227,-88.2,1,-6.0,-12.0,21.8343,1.0,0.004,0.1506
0,30,3000.0,-6.7079,9.6721,-88.2,1,-6.0,-12.0,21.6837,1.0,0.003,0.1506
0,31,3100.0,-6.7032,9.5216,-88.2,1,-6.0,-12.0,21.5331,1.0,0.002,0.1506
0,32,3200.0,-6.6985,9.371,-88.2,1,-6.0,-12.0,21.3825,1.0,0.006,0.1506
0,33,3300.0,-6.6937,9.2205,-88.1,1,-6.0,-12.0,21.2318,1.0,0.041,0.1506
0,34,3400.0,-6.6888,9.07,-87.8,1,-6.0,-12.0,21.0812,0.998,0.126,0.1506
0,35,3500.0,-6.6832,8.9197,-86.7,1,-6.0,-12.0,20.9309,0.966,0.523,0.1504
0,36,3600.0,-6.6757,8.7734,-82.2,1,-6.0,-12.0,20.7844,0.0,1.0,0.1465
0,37,3700.0,-6.6745,8.6816,-73.6,1,-6.0,-12.0,20.6926,0.0,1.0,0.0918
0,38,3800.0,-6.6741,8.6718,-65.0,1,-6.0,-12.0,20.6827,0.0,1.0,0.0099
0,39,3900.0,-6.6738,8.6717,-56.4,1,-6.0,-12.0,20.6826,0.0,1.0,0.0004
0,40,4000.0,-6.6734,8.6716,-47.8,1,-6.0,-12.0,20.6826,0.0,1.0,0.0003
0,41,4100.0,-6.6731,8.6717,-39.2,1,-6.0,-12.0,20.6826,0.0,1.0,0.0003
0,42,4200.0,-6.6728,8.6718,-30.5,1,-6.0,-12.0,20.6827,0.0,1.0,0.0003
0,43,4300.0,-6.6725,8.6719,-21.9,1,-6.0,-12.0,20.6829,0.0,1.0,0.0003
0,44,4400.0,-6.6722,8.6721,-13.3,1,-6.0,-12.0,20.6831,-0.6,0.8,0.0003
0,45,4500.0,-6.7238,8.6895,-6.4,1,-6.0,-12.0,20.7022,-0.6,0.8,0.0545
0,46,4600.0,-6.8129,8.7017,0.6,1,-6.0,-12.0,20.7177,-0.6,0.8,0.0899
0,47,4700.0,-6.9033,8.703,7.5,1,-6.0,-12.0,20.7227,-0.6,0.8,0.0904
0,48,4800.0,-6.9932,8.6935,14.4,1,-6.0,-12.0,20.7173,-0.6,0.8,0.0904
0,49,4900.0,-7.0813,8.6732,21.3,1,-6.0,-12.0,20.7015,-0.6,0.8,0.0904
0,50,5000.0,-7.1663,8.6425,28.2,1,-6.0,-12.0,20.6754,-0.6,0.8,0.0904
0,51,5100.0,-7.2155,8.6658,34.9,1,-6.0,-12.0,20.7015,-0.6,0.8,0.0544
0,52,5200.0,-7.2641,8.6991,42.0,1,-6.0,-12.0,20.7377,-0.6,0.8,0.059
0,53,5300.0,-7.3162,8.7258,49.1,1,-6.0,-12.0,20.7676,-0.6,0.8,0.0585
0,54,5400.0,-7.3688,8.7451,56.0,1,-6.0,-12.0,20.7902,-0.6,0.8,0.056
0,55,5500.0,-7.4214,8.7575,62.7,1,-6.0,-12.0,20.8061,-0.6,0.8,0.054
0,56,5600.0,-7.4692,8.763,69.3,1,-6.0,-12.0,20.8149,0.0,1.0,0.0482
0,57,5700.0,-7.4805,8.7637,78.0,1,-6.0,-12.0,20.8164,0.0,1.0,0.0113
0,58,5800.0,-7.483,8.7681,86.5,1,-6.0,-12.0,20.821,0.0,1.0,0.0051
0,59,5900.0,-7.4834,8.7684,95.1,1,-6.0,-12.0,20.8213,0.0,1.0,0.0004
0,60,6000.0,-7.4837,8.7686,103.7,1,-6.0,-12.0,20.8215,0.0,1.0,0.0003
0,61,6100.0,-7.4905,8.7792,112.0,1,-6.0,-12.0,20.8326,0.0,1.0,0.0127
0,62,6200.0,-7.5057,8.7981,119.8,1,-6.0,-12.0,20.8525,0.0,1.0,0.0242
0,63,6300.0,-7.5286,8.8192,127.4,1,-6.0,-12.0,20.8752,0.0,1.0,0.0311
0,64,6400.0,-7.5409,8.827,135.8,1,-6.0,-12.0,20.8839,0.0,1.0,0.0146
0,65,6500.0,-7.5421,8.8282,144.5,1,-6.0,-12.0,20.8852,0.0,1.0,0.0017
